x1 y1 alt1 x2 y2 alt2
423223.35839359334 2931942.482634738 68.82724465701511 423197.86398578394 2931965.242105423 68.74716340200044
423223.35839359334 2931942.482634738 68.82724465701511 423197.86398578394 2931965.242105423 68.74716340200044
423223.3215974536 2931944.653781699 68.8571928919163 423197.86398578394 2931965.242105423 68.74716340200044
423223.3215974536 2931944.653781699 68.8571928919163 423199.9370467248 2931965.285039887 68.7571242842615
423223.24467522337 2931946.7808648837 68.89714293110471 423199.9370467248 2931965.285039887 68.7571242842615
423223.24467522337 2931946.7808648837 68.89714293110471 423202.06013232586 2931965.3609028226 68.76708345295023
423223.24467522337 2931946.7808648837 68.89714293110471 423202.06013232586 2931965.3609028226 68.76708345295023
423223.1174624363 2931948.8307168386 68.9370957621112 423202.06013232586 2931965.3609028226 68.76708345295023
423223.1174624363 2931948.8307168386 68.9370957621112 423204.2334420463 2931965.5029215193 68.76704010239519
423222.93006053765 2931950.814473128 68.97705129755758 423204.2334420463 2931965.5029215193 68.76704010239519
423222.93006053765 2931950.814473128 68.97705129755758 423206.4968360122 2931965.710856714 68.76699350613293
423222.93006053765 2931950.814473128 68.97705129755758 423206.4968360122 2931965.710856714 68.76699350613293
423222.67230507324 2931952.698966301 69.01701052483081 423206.4968360122 2931965.710856714 68.76699350613293
423222.67230507324 2931952.698966301 69.01701052483081 423208.8006884473 2931966.0182348196 68.76694376651899
423222.3542275963 2931954.4952123063 69.0569729933599 423208.8006884473 2931966.0182348196 68.76694376651899
423222.3542275963 2931954.4952123063 69.0569729933599 423211.1647964029 2931966.4027847117 68.76689105742497
423222.3542275963 2931954.4952123063 69.0569729933599 423211.1647964029 2931966.4027847117 68.76689105742497
423222.01588773757 2931956.236199172 69.06693717056784 423211.1647964029 2931966.4027847117 68.76689105742497
423222.01588773757 2931956.236199172 69.06693717056784 423213.5491002188 2931966.8315184237 68.77683691094282
423221.70744311623 2931957.977006622 69.05690080514506 423213.5491002188 2931966.8315184237 68.77683691094282
423221.70744311623 2931957.977006622 69.05690080514506 423215.963232498 2931967.2489973754 68.78678248824677
423221.70744311623 2931957.977006622 69.05690080514506 423215.963232498 2931967.2489973754 68.78678248824677
423221.45912124217 2931959.772833994 69.03686200918679 423215.963232498 2931967.2489973754 68.78678248824677
423221.45912124217 2931959.772833994 69.03686200918679 423218.39709524217 2931967.6331298873 68.78672850806308
423221.2908521775 2931961.623561665 69.01682041965343 423218.39709524217 2931967.6331298873 68.78672850806308
423221.2908521775 2931961.623561665 69.01682041965343 423220.8407899059 2931967.9950515376 68.78667488344814
423221.2908521775 2931961.623561665 69.01682041965343 423220.8407899059 2931967.9950515376 68.78667488344814
423221.19267085416 2931963.5292494395 69.00677621828936 423220.8407899059 2931967.9950515376 68.78667488344814
423221.19267085416 2931963.5292494395 69.00677621828936 423223.29438298184 2931968.345838087 68.78662134584877
423221.1646437157 2931965.5009730738 68.99672913667246 423223.29438298184 2931968.345838087 68.78662134584877
423221.1646437157 2931965.5009730738 68.99672913667246 423225.7676400886 2931968.6522024684 68.78656851934619
423221.1646437157 2931965.5009730738 68.99672913667246 423225.7676400886 2931968.6522024684 68.78656851934619
423221.19713808177 2931967.5941711515 68.96667801379957 423225.7676400886 2931968.6522024684 68.78656851934619
423221.19713808177 2931967.5941711515 68.96667801379957 423228.2501973857 2931968.847749971 68.79651819694217
423221.3101504743 2931969.819799806 68.94662221835657 423228.2501973857 2931968.847749971 68.79651819694217
423221.3101504743 2931969.819799806 68.94662221835657 423230.6819323597 2931968.877460647 68.80647281116073
423221.3101504743 2931969.819799806 68.94662221835657 423230.6819323597 2931968.877460647 68.80647281116073
423221.45365624956 2931972.1449308316 68.9465634644956 423230.6819323597 2931968.877460647 68.80647281116073
423221.45365624956 2931972.1449308316 68.9465634644956 423233.05307947675 2931968.7746215393 68.81643173802902
423221.617158526 2931974.481017996 68.96650408235311 423233.05307947675 2931968.7746215393 68.81643173802902
423221.617158526 2931974.481017996 68.96650408235311 423235.35400610056 2931968.5946711875 68.82639381640446
423221.617158526 2931974.481017996 68.96650408235311 423235.35400610056 2931968.5946711875 68.82639381640446
